食物种类,食物名,热量,食物详情页面链接
"蛋类、肉类及制品
  ",火腿肠,热量：212 大卡(每100克),http://www.boohee.com/shiwu/huotuichang
"蛋类、肉类及制品
  ",鸡胸脯肉,热量：133 大卡(每100克),http://www.boohee.com/shiwu/jixiongfurou
"蛋类、肉类及制品
  ",荷包蛋（油煎）,热量：195 大卡(每100克),http://www.boohee.com/shiwu/hebaodan_youjian
"蛋类、肉类及制品
  ",咸鸭蛋,热量：190 大卡(每100克),http://www.boohee.com/shiwu/xianyadan
"蛋类、肉类及制品
  ",猪肉(肥瘦),热量：395 大卡(每100克),http://www.boohee.com/shiwu/zhurou_feishou
"蛋类、肉类及制品
  ",瓦罐鸡汤（含料）,热量：190 大卡(每100克),http://www.boohee.com/shiwu/waguanjitang_rou
"蛋类、肉类及制品
  ",瓦罐鸡汤（无料）,热量：27 大卡(每100克),http://www.boohee.com/shiwu/waguanjitang_tang
"蛋类、肉类及制品
  ",Easy Fun 低脂蛋清鸡肉饼（原味）,热量：139 大卡(每100克),http://www.boohee.com/shiwu/fda126a3
"蛋类、肉类及制品
  ",Easy Fun 低脂鸡胸肉肠（黑椒味）,热量：122 大卡(每100克),http://www.boohee.com/shiwu/fd988b08
"蛋类、肉类及制品
  ",草鱼,热量：113 大卡(每100克),http://www.boohee.com/shiwu/caoyu
"蛋类、肉类及制品
  ",鸡蛋(土鸡),热量：138 大卡(每100克),http://www.boohee.com/shiwu/jidan_tuji
"蛋类、肉类及制品
  ",鸡蛋（白皮）,热量：138 大卡(每100克),http://www.boohee.com/shiwu/jidan_baipi
"蛋类、肉类及制品
  ",鸡蛋(红皮),热量：156 大卡(每100克),http://www.boohee.com/shiwu/jidan_hongpi
"蛋类、肉类及制品
  ",鸡腿,热量：181 大卡(每100克),http://www.boohee.com/shiwu/jitui
"蛋类、肉类及制品
  ",酱牛肉,热量：246 大卡(每100克),http://www.boohee.com/shiwu/jiangniurou
"蛋类、肉类及制品
  ",鱼丸,热量：107 大卡(每100克),http://www.boohee.com/shiwu/yuwan
"蛋类、肉类及制品
  ",香肠,热量：508 大卡(每100克),http://www.boohee.com/shiwu/xiangchang
"蛋类、肉类及制品
  ",猪小排（良杂猪）,热量：351 大卡(每100克),http://www.boohee.com/shiwu/zhuxiaopai_liangzazhu
"蛋类、肉类及制品
  ",松花蛋(鸡蛋),热量：178 大卡(每100克),http://www.boohee.com/shiwu/songhuadan_jidan
"蛋类、肉类及制品
  ",猪肉(奶脯),热量：349 大卡(每100克),http://www.boohee.com/shiwu/zhurou_naifu
"蛋类、肉类及制品
  ",猪大排,热量：264 大卡(每100克),http://www.boohee.com/shiwu/zhudapai
"蛋类、肉类及制品
  ",牛肉(肥瘦),热量：125 大卡(每100克),http://www.boohee.com/shiwu/niurou_feishou
"蛋类、肉类及制品
  ",牛肉(里脊),热量：107 大卡(每100克),http://www.boohee.com/shiwu/niurou_liji
"蛋类、肉类及制品
  ",Easy Fun 低脂鸡胸肉肠,热量：142 大卡(每100克),http://www.boohee.com/shiwu/fdb9c7b6
"蛋类、肉类及制品
  ",松花蛋(鸭蛋),热量：171 大卡(每100克),http://www.boohee.com/shiwu/songhuadan_yadan
"蛋类、肉类及制品
  ",Easy Fun 低脂鸡蛋干（五香味）,热量：145 大卡(每100克),http://www.boohee.com/shiwu/fdebfdd6
"蛋类、肉类及制品
  ",Easy Fun 低脂鸡蛋干（山椒味）,热量：125 大卡(每100克),http://www.boohee.com/shiwu/fd4a994d
"蛋类、肉类及制品
  ",Easy Fun 高蛋白小酥鱼（海苔味）,热量：305 大卡(每100克),http://www.boohee.com/shiwu/fde9dde4
"蛋类、肉类及制品
  ",Easy S 低脂鸡胸肉（黑椒味）,热量：134 大卡(每100克),http://www.boohee.com/shiwu/fd49a7d1
"蛋类、肉类及制品
  ",Easy Fun 低脂鸡胸肉肠（原味）,热量：131 大卡(每100克),http://www.boohee.com/shiwu/fd041822
"蛋类、肉类及制品
  ",猪小排,热量：278 大卡(每100克),http://www.boohee.com/shiwu/zhuxiaopai
"蛋类、肉类及制品
  ",鸡（土鸡，家养),热量：124 大卡(每100克),http://www.boohee.com/shiwu/ji_tuji_jiayang
"蛋类、肉类及制品
  ",鸡（母鸡，一年内）,热量：256 大卡(每100克),http://www.boohee.com/shiwu/muji_yiniannei
"蛋类、肉类及制品
  ",鸡（肉鸡，肥）,热量：389 大卡(每100克),http://www.boohee.com/shiwu/rouji_fei
"蛋类、肉类及制品
  ",鸭肉,热量：240 大卡(每100克),http://www.boohee.com/shiwu/ya_junzhi
"蛋类、肉类及制品
  ",猪蹄,热量：260 大卡(每100克),http://www.boohee.com/shiwu/zhuti
