电影名称,评分,推荐语,电影链接
《怪兽电力公司》,8.7分,不要给它起名字，起了名字就有感情了。,https://movie.douban.com/subject/1291579/
《玩具总动员3》,8.8分,跨度十五年的欢乐与泪水。,https://movie.douban.com/subject/1858711/
《风之谷》,8.9分,动画片的圣经。,https://movie.douban.com/subject/1291585/
《血战钢锯岭》,8.7分,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,https://movie.douban.com/subject/26325320/
《功夫》,8.6分,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,https://movie.douban.com/subject/1291543/
《傲慢与偏见》,8.6分,爱是摈弃傲慢与偏见之后的曙光。,https://movie.douban.com/subject/1418200/
《上帝之城》,8.9分,被上帝抛弃了的上帝之城。,https://movie.douban.com/subject/1292208/
《时空恋旅人》,8.7分,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,https://movie.douban.com/subject/10577869/
《教父3》,8.9分,任何信念的力量，都无法改变命运。,https://movie.douban.com/subject/1294240/
《电锯惊魂》,8.7分,真相就在眼前。,https://movie.douban.com/subject/1417598/
《天书奇谭》,9.2分,传奇的年代，醉人的童话。,https://movie.douban.com/subject/1428581/
《喜宴》,8.9分,中国家庭的喜怒哀乐忍。,https://movie.douban.com/subject/1303037/
《谍影重重3》,8.8分,像吃了苏打饼一样干脆的电影。,https://movie.douban.com/subject/1578507/
《英雄本色》,8.7分,英雄泪短，兄弟情长。 ,https://movie.douban.com/subject/1297574/
《被解救的姜戈》,8.7分,热血沸腾，那个低俗、性感的无耻混蛋又来了。,https://movie.douban.com/subject/6307447/
《岁月神偷》,8.7分,岁月流逝，来日可追。,https://movie.douban.com/subject/3792799/
《七武士》,9.2分,时代悲歌。,https://movie.douban.com/subject/1295399/
《哪吒闹海》,9.1分,想你时你在闹海。,https://movie.douban.com/subject/1307315/
《我是山姆》,8.9分,爱并不需要智商 。,https://movie.douban.com/subject/1306861/
《疯狂原始人》,8.7分,老少皆宜，这就是好莱坞动画的魅力。,https://movie.douban.com/subject/1907966/
《纵横四海》,8.8分,香港浪漫主义警匪动作片的巅峰之作。,https://movie.douban.com/subject/1295409/
《头号玩家》,8.7分,写给影迷，动漫迷和游戏迷的一封情书。,https://movie.douban.com/subject/4920389/
《三块广告牌》,8.7分,怼天怼地，你走后，她与世界为敌。,https://movie.douban.com/subject/26611804/
《釜山行》,8.5分,揭露人性的丧尸题材力作。,https://movie.douban.com/subject/25986180/
《心迷宫》,8.7分,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,https://movie.douban.com/subject/25917973/
《萤火虫之墓》,8.7分,幸福是生生不息，却难以触及的远。 ,https://movie.douban.com/subject/1293318/
《达拉斯买家俱乐部》,8.8分,Jared Leto的腿比女人还美！,https://movie.douban.com/subject/1793929/
《真爱至上》,8.6分,爱，是个动词。,https://movie.douban.com/subject/1292401/
《荒蛮故事》,8.8分,始于荒诞，止于更荒诞。,https://movie.douban.com/subject/24750126/
《贫民窟的百万富翁》,8.6分,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,https://movie.douban.com/subject/2209573/
《东邪西毒》,8.6分,电影诗。,https://movie.douban.com/subject/1292328/
《记忆碎片》,8.6分,一个针管引发的血案。,https://movie.douban.com/subject/1304447/
《爆裂鼓手》,8.7分,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,https://movie.douban.com/subject/25773932/
《你的名字。》,8.4分,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,https://movie.douban.com/subject/26683290/
《黑天鹅》,8.6分,黑暗之美。,https://movie.douban.com/subject/1978709/
《花样年华》,8.6分,偷情本没有这样美。,https://movie.douban.com/subject/1291557/
《卢旺达饭店》,8.9分,当这个世界闭上双眼，他却敞开了怀抱。,https://movie.douban.com/subject/1291822/
《哈利·波特与阿兹卡班的囚徒》,8.7分,不一样的导演，不一样的哈利·波特。,https://movie.douban.com/subject/1291544/
《忠犬八公物语》,9.2分,养狗三日，便会对你终其一生。,https://movie.douban.com/subject/1959195/
《黑客帝国3：矩阵革命》,8.7分,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,https://movie.douban.com/subject/1302467/
《模仿游戏》,8.7分,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,https://movie.douban.com/subject/10463953/
《头脑特工队》,8.7分,愿我们都不用长大，每一座城堡都能永远存在。,https://movie.douban.com/subject/10533913/
《一个叫欧维的男人决定去死》,8.8分,惠及一生的美丽。,https://movie.douban.com/subject/26628357/
《雨人》,8.7分,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,https://movie.douban.com/subject/1291870/
《你看起来好像很好吃》,8.9分,感情不分食草或者食肉。,https://movie.douban.com/subject/4848115/
《哈利·波特与密室》,8.6分,魔法的密室之门已打开...,https://movie.douban.com/subject/1296996/
《未麻的部屋》,8.9分,好的剧本是，就算你猜到了结局也猜不到全部。,https://movie.douban.com/subject/1395091/
《无敌破坏王》,8.7分,迪士尼和皮克斯拿错剧本的产物。,https://movie.douban.com/subject/6534248/
《恋恋笔记本》,8.5分,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,https://movie.douban.com/subject/1309163/
《冰川时代》,8.6分,松鼠才是角儿。,https://movie.douban.com/subject/1291578/
《海街日记》,8.8分,是枝裕和的家庭习作。,https://movie.douban.com/subject/25895901/
《新世界》,8.8分,要做就做得狠一点，这样才能活下去。,https://movie.douban.com/subject/10437779/
《海边的曼彻斯特》,8.6分,我们都有权利不与自己的过去和解。,https://movie.douban.com/subject/25980443/
《虎口脱险》,8.9分,永远看不腻的喜剧。,https://movie.douban.com/subject/1296909/
《房间》,8.8分,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,https://movie.douban.com/subject/25724855/
《恐怖游轮》,8.5分,不要企图在重复中寻找已经失去的爱。,https://movie.douban.com/subject/3011051/
《惊魂记》,9.0分,故事的反转与反转，分裂电影的始祖。,https://movie.douban.com/subject/1293181/
《奇迹男孩》,8.6分,世界不完美，爱会有奇迹。,https://movie.douban.com/subject/26787574/
《魔女宅急便》,8.6分,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,https://movie.douban.com/subject/1307811/
《人工智能》,8.6分,对爱的执着，可以超越一切。,https://movie.douban.com/subject/1302827/
《雨中曲》,9.0分,骨灰级歌舞片。,https://movie.douban.com/subject/1293460/
《疯狂的石头》,8.5分,中国版《两杆大烟枪》。,https://movie.douban.com/subject/1862151/
《罗生门》,8.8分,人生的N种可能性。,https://movie.douban.com/subject/1291879/
《爱在午夜降临前》,8.8分,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,https://movie.douban.com/subject/10808442/
《小偷家族》,8.7分,我们组成了家。,https://movie.douban.com/subject/27622447/
《终结者2：审判日》,8.7分,少见的超越首部的续集，动作片中的经典。,https://movie.douban.com/subject/1291844/
《初恋这件小事》,8.4分,黑小鸭速效美白记。,https://movie.douban.com/subject/4739952/
《魂断蓝桥》,8.8分,中国式内在的美国电影。,https://movie.douban.com/subject/1293964/
《燃情岁月》,8.8分,传奇，不是每个人都可以拥有。,https://movie.douban.com/subject/1295865/
《可可西里》,8.8分,坚硬的信仰。,https://movie.douban.com/subject/1308857/
《绿里奇迹》,8.8分,天使暂时离开。,https://movie.douban.com/subject/1300374/
《穿越时空的少女》,8.6分,爱上未来的你。 ,https://movie.douban.com/subject/1937946/
《2001太空漫游》,8.8分,现代科幻电影的开山之作，最伟大导演的最伟大影片。,https://movie.douban.com/subject/1292226/
《牯岭街少年杀人事件》,8.8分,弱者送给弱者的一刀。,https://movie.douban.com/subject/1292329/
《完美陌生人》,8.5分,来啊，互相伤害啊！,https://movie.douban.com/subject/26614893/
《城市之光》,9.3分,永远的小人物，伟大的卓别林。,https://movie.douban.com/subject/1293908/
《无耻混蛋》,8.6分,昆汀同学越来越变态了，比北野武还杜琪峰。,https://movie.douban.com/subject/1438652/
《阿飞正传》,8.5分,王家卫是一种风格，张国荣是一个代表。,https://movie.douban.com/subject/1305690/
《新龙门客栈》,8.6分,嬉笑怒骂，调风动月。,https://movie.douban.com/subject/1292287/
《源代码》,8.4分,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,https://movie.douban.com/subject/3075287/
《香水》,8.5分,一个单凭体香达到高潮的男人。,https://movie.douban.com/subject/1760622/
《谍影重重2》,8.6分,谁说王家卫镜头很晃？,https://movie.douban.com/subject/1308767/
《青蛇》,8.5分,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,https://movie.douban.com/subject/1303394/
《地球上的星星》,8.9分,天使保护事件始末。,https://movie.douban.com/subject/2363506/
《谍影重重》,8.6分,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,https://movie.douban.com/subject/1304102/
《战争之王》,8.6分,做一颗让别人需要你的棋子。,https://movie.douban.com/subject/1419936/
《色，戒》,8.4分,假戏真情，爱欲深海,https://movie.douban.com/subject/1828115/
《血钻》,8.7分,每个美丽事物背后都是滴血的现实。,https://movie.douban.com/subject/1428175/
《猜火车》,8.5分,不可猜的青春迷笛。 ,https://movie.douban.com/subject/1292528/
《遗愿清单》,8.6分,用剩余不多的时间，去燃烧整个生命。,https://movie.douban.com/subject/1867345/
《大佛普拉斯》,8.7分,人们可以登上月球，却永远无法探索人们内心的宇宙。,https://movie.douban.com/subject/27059130/
《疯狂的麦克斯4：狂暴之路》,8.6分,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~,https://movie.douban.com/subject/3592854/
《步履不停》,8.8分,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,https://movie.douban.com/subject/2222996/
《彗星来的那一夜》,8.5分,小成本大魅力。,https://movie.douban.com/subject/25807345/
《朗读者》,8.6分,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,https://movie.douban.com/subject/2213597/
《浪潮》,8.7分,世界离独裁只有五天。,https://movie.douban.com/subject/2297265/
《小萝莉的猴神大叔》,8.4分,宝莱坞的萝莉与大叔。,https://movie.douban.com/subject/26393561/
《再次出发之纽约遇见你》,8.5分,爱我就给我看你的播放列表。,https://movie.douban.com/subject/6874403/
《驴得水》,8.3分,过去的如果就让它过去了，未来只会越来越糟！,https://movie.douban.com/subject/25921812/
《聚焦》,8.8分,新闻人的理性求真。,https://movie.douban.com/subject/25954475/
《东京物语》,9.2分,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,https://movie.douban.com/subject/1291568/
《追随》,8.9分,诺兰的牛逼来源于内心散发出的恐惧。,https://movie.douban.com/subject/1397546/
《一次别离》,8.7分,只有有信仰的人才能说出事实真相。,https://movie.douban.com/subject/5964718/
《九品芝麻官》,8.5分,无,https://movie.douban.com/subject/1297518/
《千钧一发》,8.8分,一部能引人思考的科幻励志片。,https://movie.douban.com/subject/1300117/
《哈利·波特与火焰杯》,8.5分,无,https://movie.douban.com/subject/1309055/
《我爱你》,9.0分,你要相信，这世上真的有爱存在，不管在什么年纪 ,https://movie.douban.com/subject/5908478/
《黑鹰坠落》,8.7分,还原真实而残酷的战争。,https://movie.douban.com/subject/1291824/
《网络谜踪》,8.6分,无,https://movie.douban.com/subject/27615441/
《发条橙》,8.5分,我完全康复了。,https://movie.douban.com/subject/1292233/
《E.T. 外星人》,8.6分,生病的E.T.皮肤的颜色就像柿子饼。,https://movie.douban.com/subject/1294638/
《黑客帝国2：重装上阵》,8.6分,一个精彩的世界观正在缓缓建立。,https://movie.douban.com/subject/1304141/
《波西米亚狂想曲》,8.7分,无,https://movie.douban.com/subject/5300054/
《变脸》,8.5分,当发哥的风衣、墨镜出现在了凯奇身上,https://movie.douban.com/subject/1292659/
《末路狂花》,8.8分,没有了退路，只好飞向自由。,https://movie.douban.com/subject/1291992/
《撞车》,8.6分,天使与魔鬼的冲撞。,https://movie.douban.com/subject/1388216/
《梦之安魂曲》,8.7分,一场没有春天的噩梦。,https://movie.douban.com/subject/1292270/
